,ISBN:,Título:,Autor(es):,Ilustrador(es):,Tradutor(es),Editora:,Data de edição:,Palavras-chave:,Idade:,Nível de Leitura:,Tema:,Formato:,Língua:,Ano PNL
11,9789896417673,Poemas de John Donne,"Donne, John",N/R,"Guimarães, Maria de Lourdes; Guimarães, Fernando",N/R,2017/11/6,Poesia; Donne; poetas metafísicos.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
12,9789896417697,Poemas Escolhidos de W. B. Yeats,"Yeats, W. B.",N/R,"Pedreira, Frederico",N/R,2017/10/2,Poesia; Yeats; Irlanda; inglês.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
13,978-989-8828-21-7,La Mariée Mise à Nu,"Campos, Madalena de Castro",N/R,N/R,N/R,2017/3/6,Poesia; mulher; feminismo; condição humana; condição feminina.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
14,978-989-8828-41-5,Ao Largo de Delos,"Osório, Ramiro S.",N/R,N/R,N/R,2018/1/2,Poesia; Grécia; viagem; conhecimento.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
15,978-972-37-1959-,A Noite Imóvel,"Quintais, Luís",N/R,N/R,N/R,2017/2/1,Poesia; tempo; reflexão; pensamento.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
16,978-972-37-1980,Existência,"Cruz, Gastão",N/R,N/R,N/R,2017/8/1,Poesia; energia; força; cânone.,N/R,N/R,Poesia,N/R,N/R,2018
17,978-972-37-1964-2,Nadar na Piscina dos Pequenos,"Anghel, Golgona",N/R,N/R,N/R,2017/5/2,Poesia; ironia; humor; História; reflexão.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
18,978-972-37-1947-5,Poesias Completas & Dispersos,"O'Neill, Alexandre",N/R,N/R,N/R,2018/1/2,Poesia; ironia; humor; cânone; intemporal.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
19,978-972-37-1945-1,Poesia,"Andrade, Eugénio",N/R,N/R,N/R,2017/7/3,Poesia; música; transparência.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
20,978-972-37-1966-6,Poesia,"Cesariny, Mário",N/R,N/R,N/R,2017/11/2,Poesia; originalidade; criatividade; surrealismo.,N/R,N/R,Poesia,N/R,N/R,2018
21,978-972-37-2011,De Passagem,"Oliveira, José Alberto",N/R,N/R,N/R,2018/1/2,Poesia; reflexão; tempo; sobriedade.,N/R,N/R,Poesia,N/R,N/R,2018
22,978-972-37-2009-9,Poemas da Antologia Grega,Vários,N/R,"Oliveira, José Alberto",N/R,2017/12/4,Poesia; Grécia; Bizâncio; Antologia.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
23,978-972-37-1911-6,Épico de Gilgameš,Anónimo,N/R,"Parreira, Francisco Luís",N/R,2017/4/13,Poesia; Epopeia; Gilgamesh; Mesopotâmia; Suméria.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
24,9789896418427,Obra Completa,"Rimbaud, Arthur","Carjat, Étienne","Pereira, Miguel Serras; Moita, João",N/R,2018/5/10,"Poesia, liberdade,  modernidade.",Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
25,9789896713874,Poemas Quotidianos,"Reis, António",N/R,N/R,N/R,2017/7/3,Poesia; rigor; cânone; cinema; cultura.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
26,978-989-671-361-4,Violeta Parra Para Meninos e Meninas,"Fink, Nadia.","Saá, Pitu.","Hugon, Inês.",N/R,2017/3/1,Violeta Parra; Nadia Fink; Pitu Saá; biografia; música.,6-8 anos,Leitura mediana,Biografia;Literatura,Livro-álbum,Português,2018
27,9789896714420,Labareda,"Lacerda, Alberto de","Tavares, Vera",não tem,N/R,2018/6/7,"Poesia, apuro, cânone.",Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
28,9789896168049,Zombies e Cálculo,"Adams, Colin",não há,"Saramago, Maria",N/R,2018/2/14,"matemática, cálculo infinitesimal, zombies",Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias,Livro,Português,2018
29,978-989-8166-35-7,Nunca se passa nada no meu bairro,"Raskin, Ellen.","Raskin, Ellen.","Guégués, Helder..",N/R,2017/10/1,Ellen Raskin; bairro.,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
30,978-989-8166-36-4,A meia perdida,"Bösenberg, Anine.","Bösenberg, Anine.",----,N/R,2017/11/1,Meia; perda; Ellen Raskin.,3-5 anos,Pré-leitura,Literatura,Livro-álbum,Português,2018
31,978-989-8868-10-7,O regresso da baleia,"Davies, Benji.","Davies, Benji.","Lopes, Rui.",N/R,2018/1/1,Benji Davies; amizade; baleia; pai.,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
32,978-972-0-70239-5,Perguntas e Respostas sobre o teu Corpo,"Daynes, K.","Tremblay, M.","Tibério, L.",N/R,2016/7/1,n. a.,6-8 anos,Leitura mediana,Ciências e Tecnologias,Livro-álbum,Português,2018
33,978-989-666-148-9,Não se deixe enganar: Guia de sobrevivência no mundo moderno,"Barbosa, D. Monteiro J. Abrantes, L. Filipe, M.",n.a.,n.a.,N/R,2017/6/1,Ciência; Pseudociência; Cientista,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade;Vida Prática,Livro,Português,2018
34,978-972-27-2510-1,Sou o Lince-Ibérico — o Felino Mais Ameaçado do Mundo,"Freitas, M. J.","Albuquerque, T., Albuquerque , N.",n. a.,N/R,2016/10/1,Lince-Ibérico; Territorialidadel; Superpredador,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
35,978-972-0-70695-9,Tudo o que deves saber!,"Farndon J., Beattie, R.","Fricker, S.",n.d.,N/R,2017/10/1,Tecnologia; Curiosidade; Como funciona,6-8 anos;9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Vida Prática,Livro,Português,2018
36,9789896444600,O Caso PIDE/DGS,"Pimentel, Irene Flunser",N/R,N/R,N/R,2017/10/10,história; memória; PIDE/DGS; salazarismo; democracia,Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade,N/R,N/R,2018
37,9789899914926,George Harrison - à Porta Fechada,"Thomson, Graeme",não há,"Amaral,Vasco",N/R,2017/11/15,"George Harrison, música, biografia.",15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade,Livro,Português,2018
38,9789896661601,"Salvador Sobral, Coração de Herói","Tavares, Maria Milene",não há,não há,N/R,2017/6/14,biografia,Maiores de 18 anos,Leitura autónoma,Biografia,Livro,Português,2018
39,9789896661458,Rita Lee - uma autobrigrafia,"Lee, Rita",não há,não há,N/R,2017/6/14,autobiografia.,Maiores de 18 anos,Leitura autónoma,Biografia,Livro,Português,2018
40,9789897416774,"Amália, a Ressureição","Dacosta, Fernando",não há,não há,N/R,2017/3/14,"Amália, biografia, fado",Maiores de 18 anos,Leitura autónoma,Biografia;Cultura e Sociedade,Livro,Português,2018
41,9789725306062,O Poder da Música,"Hanna, Osseily",não há,"Silva, Daniel Miranda",N/R,2018/4/10,"música, tolerância, educação",15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Cultura e Sociedade,Livro,Português,2018
42,9789720706942,Tudo o que deves saber! Corpo Humano,Farndon J.,"Hutchinson, T.","Tibério, L.",N/R,2017/9/1,Corpo Humano; Curiosidades; Saúde,6-8 anos;9-11 anos;12-14 anos,Leitura inicial;Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Vida Prática,Livro,Português,2018
43,9789897223280,A Contraluz,"Cusk, Rachel",n.d.,"Matoso, Ana",N/R,2017/4/1,Viagem; encontros; introspecção; descoberta do “eu”; solidão.,15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
44,9789897223600,Sucesso,"Amis, Martin",n.d.,n.d.,N/R,2017/4/1,Sucesso;fama; rivalidade; misoginia.,Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
45,978-972-38-3007-1,Sinais de Fogo,"Sena, Jorge de",n.d.,n.d.,N/R,2017/7/1,Iniciação sexual; política; social;amorosa.,15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
46,978-972-38-3038-5,A Metamorfose,"Kafka, Franz",n.d.,"Gonçalves, Álvaro",N/R,2018/4/1,Absurdo; Angústia existencial; Horror; Humor negro,15-18 anos,Leitura mediana,Literatura,Livro,Português,2018
47,9789896418069,Mulherzinhas,"Alcott, Louisa May",n.d.,"Mendonça, Marta",N/R,2017/12/1,Séc. XIX; Feminismo: Aprendizagem; Autonomia feminina,12-14 anos,Leitura mediana,Literatura,Livro,Português,2018
48,978-989-648-771-3,ABISSUS e o Livro que Meteu Água,"Gonzalez, M.","Benvindo, P",n. a.,N/R,2017/6/1,Oceano; Água; Ciências Naurais,6-8 anos;9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Literatura,Livro,Português,2018
49,978-989-707-443-1,O Clube dos Cientistas - Os Contrabandistas de Cristais,"Macedo, M.","Paz, S.",n. a.,N/R,2018/1/1,Experiências; Critais; Ciência,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Literatura,Livro,Português,2018
50,978-989-722-416-4,Nova Antologia Pessoal,"Borges, Jorge Luis",n.d.,"Amaral, Fernando Pinto; Barreiros,José Colaço",N/R,2017/10/1,Antologia; Poesia; Prosa,15-18 anos;Maiores de 18 anos,Leitura autónoma,Ensaio;Literatura;Poesia,Livro,Português,2018
51,978-989-707-444-8,O Clube dos Cientistas - Um Estranho Caso na Quinta,"Macedo, M.","Paz, S.",n. a.,N/R,2017/5/1,Clube dos Cientistas; Experiências.,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Literatura,Livro,Português,2018
52,978-989-616-764-6,Simetria,"Well, H.",n. d.,"Marques, F.",N/R,2017/6/1,Simetria; Rotação; Vector,Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
53,978-989-616-799-8,A Ciência e os Seus Inimigos,"Fiolhais,C. , Marçal, D.",n.a.,n.a.,N/R,2018/2/1,Ciência; Inimigos da Ciência; Pseudociência,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade;Vida Prática,Livro,Português,2018
54,978-989-616-789-9,Tecnologia versus Humanidade: O Confronto futuro entre a Máquina e o Homem,"Leonhard, G.",n. a.,"Marques, F.",N/R,2017/9/1,Humanidade; Tecnologia; Megamudanças,15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
55,978-989-671-363-8,Clarice Lispector Para Meninos e Meninas,"Fink, Nadia.","Saá, Pitu.","Simões, Rita Almeida.",N/R,2017/3/1,Clarice Lispector; Nadia Fink; Pitu Saá; biografia; antiprincesas.,6-8 anos,Leitura mediana,Biografia;Literatura,Livro-álbum,Português,2018
56,978-989-671-362-1,Juana Azurduy Para Meninos e Meninas,"Fink, Nadia.","Saá, Pitu.","Simões, Rita Almeida.",N/R,2017/3/1,Juana Azurduy; Nadia Fink; Pitu Saá; biografia.,6-8 anos,Leitura mediana,Biografia;Literatura,Livro-álbum,Português,2018
57,978-989-99759-9-6,O mundo é redondo,"Stein, Gertrude.","Caiano, Rachel.","Gomes, Luísa Costa.",N/R,2017/9/1,Gertrude Stein; mundo; identidade,9-11 anos,Leitura autónoma,Literatura,Livro,Português,2018
58,978-989-8868-16-9,Uma rosa na tromba de um elefante,"Forte, António José.","Malhão, Mariana.",-----,N/R,2018/3/1,António José Forte; Mariana Malhão; poesia; surrealismo,6-8 anos,Leitura inicial,Literatura;Poesia,Livro-álbum,Português,2018
59,978-989-8868-15-2,Um dia de neve,"Keats, Ezra Jack.","Keats, Ezra Jack.","Oliveira, Carla.",N/R,2018/2/1,Ezra Jack Keats; neve; espanto; descoberta,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
60,978-989-8868-00-8,A Ilha do Avô,"Davies, Benji.","Davies, Benji.","Lopes, Rui.",N/R,2017/7/1,Benji Davies; ilha; avô; neto; morte,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
61,978-989-8868-14-5,Um capuchinho vermelho,"Leray, Marjolaine.","Leray, Marjolaine.","Afonso, Maria.",N/R,2018/2/1,Marjolaine Leray; capuchinho vermelho; lobo mau; humor negro,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
62,978-972-23-5948-1,A menina dos livros,"Jeffers, Oliver; Wilson, Sam.","Jeffers, Oliver; Wilson, Sam.",----,N/R,2017/6/1,Oliver Jeffers; Sam Wilson; literatura; livros; amizade,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
63,978-989-616-805-6,Biodiversidade: O que é e porque é importante,"Casetta, E., Marco, S., Silva, J., Silva, C., Vecchi, D., Vicente, L.",n. d.,n. a.,N/R,2018/1/1,Biodiversidade; Ecologia; Ecossistema,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
64,978-989-641-800--,A Princesa de Cléves,"Lafayette, Madame de","Vasconcelos, Carlos César","Moita, João",N/R,2017/11/1,paixão; virtude; preconceito social;,15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
65,9789899965898,Estás tão Crescida,"Gonçalves, A. J.","Gonçalves, A. J.",s/tr.,N/R,2018/02/16,Viagem; Crescimento; imaginação.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Artes;Literatura,Livro,Português,2018
66,978-989-8145-88-8,Eu Sou Eu Sei,"Pessoa, Ana.","Matoso, Madalena.",------,N/R,2018/4/1,Ana Pessoa; Madalena Matoso; ser; crescer; aprender,0-2 anos,Pré-leitura,Literatura;Poesia,Livro-álbum,Português,2018
67,978-989-99943-1-7,"mãe Terra, terra Mãe","Éffe, Fátima.","Éffe, Fátima.",----,N/R,2018/4/1,---,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
68,978-972-53-0610-9,O livro com medo,"Ramadier, Cédric.","Bourgeau, Vincent.","Carvalho, Maria.",N/R,2018/5/1,-------,0-2 anos,Pré-leitura,Literatura,Livro-álbum,Português,2018
69,978-989-8855-42-8,"Hora de deitar, Baltasar!","Ismail, Yasmeen.","Ismail, Yasmeen.",???????,N/R,2017/6/1,Yasmeen Ismail; deitar; cão; animais,0-2 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
70,978-989-99699-6-4,Mariana no caminho da igualdade,"Monteiro, Mariana; Moreira, Narciso.","Gabriela, Ana.",-----,N/R,2018/4/1,------,9-11 anos,Leitura mediana,Cultura e Sociedade,Livro,Português,2018
71,978-989-99699-4-0,Rita e a Floresta dos Legumes,"Redshoes, Rita. Moreira, Narciso.","Gabriela, Ana.",-----,N/R,2017/10/1,-----,9-11 anos,Leitura mediana,Vida Prática,Livro,Português,2018
72,978-989-99699-0-2,Deixa o Bullying Só!,"Só, João. Costa, Helena.","Gabriela, Ana.",----,N/R,2017/9/1,----,9-11 anos,Leitura mediana,Cultura e Sociedade,Livro-álbum,Português,2018
73,978-989-8837-41-7,Há pegadas no arco-íris,"Bonifácio, Célia.","Amaral, Diana.","Lucas, Vera.",N/R,2017/1/1,-----,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
74,978-989-99708-2-3,Poemas para as Quatro Estações,"Leitão, Manuela.","Marques, Catarina Correia.",-----,N/R,2017/11/1,-------,3-5 anos,Leitura inicial,Literatura;Poesia,Livro-álbum,Português,2018
75,978-972-793-215-3,Eu e a minha Avó!,"Ritchie, Alison.","Edgson, Alison.","Costa, Pedro.",N/R,2018/1/1,-----,0-2 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
76,978-972-793-216-0,Com a tua pata na minha,"Chapman, Jane.","Chapman, Jane.","Costa, Pedro.",N/R,2018/2/1,----,0-2 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
77,978-989-99488-2-2,O mundo escrito a branco,47 Alunos da Escola Básica Nº1 de Nogueira — Braga Agrupamento de Escolas Alberto Sampaio,47 Alunos da Escola Básica Nº1 de Nogueira — Braga Agrupamento de Escolas Alberto Sampaio,----,N/R,2017/4/1,-------,6-8 anos,Leitura mediana,Literatura,Livro,Português,2018
78,978-989-99488-3-9,Invulgar cão mula,"Gaspar, Filipe; Rente, Sofia.","Pereira, Tiago.",----,N/R,2017/9/1,---,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
79,978-989-8868-06-0,Perdi-me no museu porque...,"Cali, Davide.","Chaud, Benjamin.","Lopes, Rui.",N/R,2017/9/1,Davide Cali; Benjamin Chaud; museu; perdi-me.,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
80,978-989-8327-78-9,Rio Acima,"Starkoff, Vanina.","Starkoff, Vanina.","Berhan, João.",N/R,2017/7/1,Vanina Starkoff; vida em comunidade; rio.,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
81,978-989-8868-07-7,Animais Selvagens do Norte,"Braun, Dieter.","Braun, Dieter.","Gomes, Manuela.",N/R,2017/10/1,Dieter Braun; animais selvagens; hemisfério norte.,6-8 anos,Leitura mediana,Ciências e Tecnologias;Literatura,Livro-álbum,Português,2018
82,978-989-8327-98-7,Triângulo,"Barnett, Mac.","Klassen, Jon.","Lopes, Rui.",N/R,2017/8/1,Jon Klassen; Mac Barnett; triângulo; quadrado; formas,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
83,978-989-8868-05-3,A minha mãe,"Servant, Stéphane.","Houdart, Emmanuelle.","Zeller, João van.",N/R,2017/11/1,Stéphane Servant; Emmanuelle Houdart; mãe.,6-8 anos,Leitura mediana,Cultura e Sociedade;Literatura;Poesia,Livro-álbum,Português,2018
84,978-972-23-6101-9,Senhora Tímida,"Hargreaves, Roger.","Hargreaves, Roger.","Cardoso, João.",N/R,2017/10/1,Roger Hargreaves; timidez,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
85,978-972-23-6123-1,Senhor Despachado,"Hargreaves, Roger.","Hargreaves, Roger.","Cardoso, João.",N/R,2017/11/1,Roger Hargreaves; despachado.,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
86,978-972-23-6132-3,Senhora Troca-Tudo,"Hargreaves, Roger.","Hargreaves, Roger.","Cardoso, João.",N/R,2017/11/1,Roger Hargreaves; troca-tudo,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
87,978-972-23-6052-4,OH! Um livro com sons,"Tullet, Hervé.","Tullet, Hervé.","Romão, Helena.",N/R,2017/8/1,Hervé Tullet; sons,3-5 anos,Leitura inicial,Artes;Literatura,Livro-álbum,Português,2018
88,978-989-98921-9-4,O anel da grande dama,"Keil, Maria.","Keil, Maria.",-----,N/R,2017/9/1,Maria Keil; grande dama; anel; mistério,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
89,978-989-8145-81-9,Cá Dentro — Guia para descobrir o cérebro,"Martins, Isabel Minhós; Pedrosa, Maria Manuel.","Matoso, Madalena.",----,N/R,2018/3/1,Isabel Minhós Martins; Maria Manuel Pedrosa; Madalena Matoso; cérebro,9-11 anos,Leitura mediana,Ciências e Tecnologias;Literatura;Vida Prática,Livro-álbum,Português,2018
90,978-989-8145-84-0,Desenho Livre,"Sandoval, Andrés.","Sandoval, Andrés.",---,N/R,2017/9/1,Andrés Sandoval; desenho; livre,3-5 anos,Leitura inicial,Artes;Literatura,Livro-álbum,Português,2018
91,978-989-8145-83-3,Não é nada difícil — O livro dos labirintos,"Matoso, Madalena.","Matoso, Madalena.",-----,N/R,2017/11/1,Madalena Matoso; dificuldades; labirinto.,6-8 anos,Leitura inicial,Artes;Literatura,Livro-álbum,Português,2018
92,978-989-8145-85-7,A Orquestra — Uma volta ao mundo à procura dos músicos,"Perarnau, Chloé.","Perarnau, Chloé.","Martins, Isabel Minhós.",N/R,2018/2/1,Chloé Perarnau; orquestra; música; volta ao mundo,6-8 anos,Leitura mediana,Artes;Literatura,Livro-álbum,Português,2018
93,9789898145789,A bola amarela,"Fehr, Daniel.","Carvalho, Bernardo P.",--,N/R,2017/3/1,Daniel Fehr; Bernardo Carvalho; jogo; ténis; bola,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
94,978-989-99998-1-7,Sonho,"Monteiro, Susa.","Monteiro, Susa.",--,N/R,2018/2/1,Susa Monteiro; sonho; explorar,3-5 anos,Pré-leitura,Artes,Livro-álbum,Português,2018
95,978-989-99998-5-5,A nuvem,"Mendes, Rita Canas.","Fazenda, João.",--,N/R,2018/3/1,Rita Canas Mendes; João Fazenda; nuvem,6-8 anos,Leitura mediana,Literatura,Livro-álbum,Português,2018
96,978-989-99658-5-0,"Viseu, a minha cidade","Seixas, Ana.","Seixas, Ana.",----,N/R,2017/3/1,Ana Seixas: Viseu; guia ilustrado,6-8 anos,Leitura inicial,Artes;Cultura e Sociedade;Vida Prática,Livro-álbum,Português,2018
97,978-989-648-920-5,O lobo que não gostava de ler,"Lallemand, Orianne.","Thuillier, Éléonore.","Oom, Ana.",N/R,2017/7/1,---,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
98,978-989-671-393-5,A Revolução Russa,"Fitzpatrick, Sheila",não se aplica,"Silva, Susana Sousa e",N/R,2017/9/1,Revolução - Comunismo - Guerra - Socialismo - Estalinismo,Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio,Livro,Português,2018
99,978-972-793-220-7,"Cuidado, é um dragão!","Lambert, Jonny.","Lambert, Jonny.","Costa, Pedro.",N/R,2018/6/1,---,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
100,978-989-99784-9-2,"Beatriz, a árvore feliz","Ferreira, Carmen Zita.","Barbosa, Hélder.",---,N/R,2017/9/1,---,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
101,978-972-0-70579-2,Histórias das Fadas das Neves,AA.VV.,AA.VV.,"Ludovico, Sara.",N/R,2017/9/1,---,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
102,978-972-23-6154-5,Monstros fantásticos e onde encontrá-los,"Rowling, J. K.","Rowling, J. K.","Fraga, Isabel.",N/R,2018/1/1,---,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
103,978-989-8195-86-9,As canções do Professor Jorge,"Courela, Jorge.","Ravasco, Rita.",---,N/R,2016/1/1,---,3-5 anos,Leitura inicial,Artes,Livro com CD e/ou DVD,Português,2018
104,978-989-8195-81-4,Um verdadeiro coração,"Condesso, João Pedro; Monteiro, Manuel.","Fonseca, Ana.",---,N/R,2017/10/1,---,3-5 anos,Leitura inicial,Literatura,Livro com CD e/ou DVD,Português,2018
105,978-989-8195-76-0,Um bilhete para Catarina,"Rosa, M. Carolina Pereira","Fonseca, Ana.",---,N/R,2017/1/1,---,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
106,978-972-793-218-4,A caixa das preocupações,"Chiew, Suzanne.","Julian, Sean.","Semedo, Mónica.",N/R,2018/4/1,----,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
107,978-972-793-214-6,A lagarta comilona,"Cain, Sheridan.","Tickle, Jack.","Semedo, Mónica.",N/R,2018/1/1,---,0-2 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
108,978-972-793-219-1,Um dragão em brasa!,"Starling, Robert.","Starling, Robert.","Costa, Pedro.",N/R,2018/5/1,---,3-5 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
109,978-972-23-6086-9,Um torneio em honra do imperador,"Stilton, Geronimo.",N/D,"Babo, Carlos Grifo.",N/R,2017/9/1,---,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
110,978-972-23-6047-0,O castelo do Rei Artur,"Stilton, Geronimo.",N/D,"Babo, Carlos Grifo.",N/R,2017/6/1,---,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
111,978-972-23-5995-5,A princesa adormecida,"Pimenta, Paula.",---,---,N/R,2017/4/1,---,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
112,978-989-641-741-3,O conto do Pedrito Coelho,"Potter, Beatrix.","Potter, Beatrix.","Dias, Inês.",N/R,2017/5/1,Beatrix Potter; Pedrito Coelho.,3-5 anos,Leitura inicial,Literatura,Livro,Português,2018
113,978-972-23-6046-3,A minha prima Rachel,"Maurier, Daphne Du",----,"Madureira, Manuela.",N/R,2017/10/5,Daphne Du Maurier; Rachel.,Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
114,978-972-8910-77-8,As flores também sonham,"Gonçalves, Celeste de Almeida.","Serra, Sandra.",----,N/R,2017/10/1,---,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
115,978-989-20-8215-8,Cuscas na Torre de Belém,"Santos, Paulo.","Lima, Susana.",---,N/R,2018/1/1,---,6-8 anos,Leitura inicial,Literatura,Livro-álbum,Português,2018
