,ISBN,Título,Autor,Ilustrador,Tradutor,Data de edição,Editora,Idade02,Idade02.1,Nível de leitura01,Nível de leitura02,Temas01,Temas02,Temas03,Formato01,Formato02,Línguas01,Línguas02
37,84-8130-520-0,As vinhas da ira,"Steinbeck, John ; Mesquita, Teresa , transc. Braille ; Mateus, Álvaro, rev.",,"Mota, Virgínia",,Jornal Público ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
38,972-0-04216-8,Viagens na minha terra,"Garrett, Almeida ; Mota, Laurinda, transc. Braille ; Andrade, Paulo, rev.",,,,Porto Editora ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
39,972-0-70232-X,Jacklavais ataca à sexta-feira,"Vaz, José","Pires, Pedro",,2004,Gailivro,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
40,972-0-70495-0,"Leonardo Da Vinci : artista, inventor e cientista do renascimento","Romei, Francesca","Ricciardi, Sergio ; Ricciardi, Andrea","Teixeira, Maria Arminda",2001,Porto Editora,9-11 anos,,Leitura fluente,,Biografia,Artes,,,,Português,
41,972-0-70774-7,A oficina do Pai Natal,,,,2001,Porto Editora,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,Livro álbum,,Português,
42,972-0-71261-9,Em grande forma. Vol. 2: As doenças : para que servem as injecções?,"Rastoin-Fugeron, Françoise","Chaud, Benjamin",,2003,Porto Editora,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
43,972-0-71262-7,Em grande forma. Vol. 1: O sono : porque dormimos a sesta? ,"Rastoin-Fugeron, Françoise","Chaud, Benjamin",,2003,Porto Editora,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
44,972-0-71267-8,O ambiente,"Rastoin-Fugeron, Françoise","Chaud, Benjamin",,2005,Porto Editora,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
45,972-0-71645-2,Animais marinhos,"Chanut, Emmanuel ; Janicot, Stéphanie","Winter, Marie... [et al.]",,2005,Porto Editora,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
46,972-0-71712-2,O planeta Terra,"Baussier, Sylvie","Teyssère, Fabienne",,2005,Porto Editora,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
47,972-1-00215-1,O barão e outros contos,"Fonseca, Branquinho da",,,1997,Europa-América,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
48,972-1-02649-2,Os meus amores,"Coelho, José Trindade",,,1988,Europa-América,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
49,972-1-02666-2,Romeu e Julieta,"Shakespeare, William",,"Martins, Maria José",1988,Europa-América,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,Inglês
50,972-1-02786-3,Os últimos casos de Sherlock Holmes,"Doyle, Arthur Conan",,"Vidal, Isabel",1998,Europa-América,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
51,972-1-02898-3,Crime e castigo,"Dostoiévski, Fiódor",,"Rodrigues, Adelino dos Santos",1999,Europa-América,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
52,972-1-03874-1,A mãe,"Gorki, Máximo",,"Gonçalves, Egito",1994,Europa-América,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
53,972-1-04084-3,Orgulho e preconceito,"Austen, Jane; Mesquita, Teresa, transc. Braille ; Moreira, Aureliano, rev.",,"Lima, Maria Francisca Ferreira de",,Europa-América ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
54,972-1-04180-7,Contos de Eça de Queirós,"Queirós, Eça de ; Mota, Laurinda, transc. Braille, Baptista, António, rev.",,,,Europa-América ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
55,972-1-05533-6,Experiências malcheirosas,"Arnold, Nick","De Saulles, Tony","Neves, Isabel",2005,Europa-América,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
56,972-20-2298-9,Café República Folhetim do mundo vivido em Vila Velha (1914-1945),"Guerra, Álvaro ; Sá, Fátima, transc. Braille ; Andrade, Paulo, rev.",,,,"Dom Quixote ; Santa Casa da Misericórdia-Porto, Centro Prof. Albuquerque e Castro-Edições Braille",maiores de 18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
57,972-21-0022-9,A malta do 2º C ,"Fonseca, Catarina ; Mota, Laurinda, transc. Braille ; Santos, António, rev.",,,,Caminho ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro. Ed. Braille,9-11 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
58,972-21-0026-2,Memorial do convento,"Saramago, José ; Mesquita, Teresa, transc. Braille ; Andrade, Paulo, rev.",,,,Caminho ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro. Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
59,972-21-0037-8,Chocolate à chuva ,"Vieira, Alice ; Mesquita, Teresa, transc. Braille ; Baptista, António, rev.",,,1989,Caminho ; Santa Casa da Misericórdia-Porto . Centro Prof. Albuquerque e Castro-Edições Braille,9-11 anos,,Leitura mediana,,Literatura,,,Livro em Braille,,Português,
60,972-21-1304-6,Obra poética,"Craveirinha, José",,,1999,Caminho,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
61,972-21-1350-X,Nham-nham!,"Manning, Mick","Granström, Brita","Oliveira, Miguel Vaz",2000,Caminho,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
62,972-21-1437-9,A maior flor do mundo,"Saramago, José ; Rothes, Amanda, transc. ; Macieira, António, rev.","Caetano, João",,2001,Caminho ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro. Ed. Braille,9-11 anos,,Leitura mediana,,Literatura,,,Livro em Braille,,Português,
63,972-21-1439-5,O colar,"Andresen, Sophia de Mello Breyner ; Mota, Laurinda, transc. Braille ; Santos, antónio, rev.",,,,Caminho ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro. Ed. Braille,12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
64,972-21-1468-9,Contos e lendas de Macau,"Vieira, Alice","Corbel, Alain",,2002,Caminho,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
65,972-21-1783-1,História de Portugal. Vol. 7: Portugal encoberto e restaurado,"Matoso, José ; Cruz, Maria Augusta Lima ; Magalhães, Ana Maria ; Alçada, Isabel, pseud.","Marques, Carlos",,2006,Caminho,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
66,972-21-1837-4,O romance de Rita R,"Saldanha, Ana",,,2010,Caminho,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
67,972-22-1633-3,A lua de Joana,"Gonzalez, Maria Teresa Maia ; Mota, Laurinda, transc. Braille ; Santos, António, rev.",,,,Verbo ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
68,972-22-1648-1,Os caçadores de cabeças,"Honrado, Alexandre","Malaquias, Cristina",,1994,Verbo,9-11 anos,12-14 anos,Leitura mediana,,Literatura,,,,,Português,
69,972-22-2398-2,Tudo sobre os aviões,"Erne, Andrea","Metzger, Wolfgang","Silveira, Mercedes",2005,Verbo,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
70,972-22-2552-9,Contos e lendas de tradição cristã,"Rock, Lois ; Sousa, Teresa Elói, adapt.","Balit, Christina","Sousa, Teresa Elói",2006,Verbo,9-11 anos,,Leitura mediana,,Literatura,Cultura e Sociedade,,,,Português,
71,972-23-1448-3,O perfume,"Süskind, Patrick ; Mesquita, Teresa ; Andrade, Paulo, rev.",,"Moura, Maria Emília Ferros",,Presença ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
72,972-23-2080-7,Obra poética : 1948-1988,"Mourão-Ferreira, David ; Coelho, Eduardo Prado, pref.",,,2001,Presença,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
73,972-23-2680-5,Harry Potter e o cálice de fogo,"Rowling, Joanne K. ; Mesquita, Teresa, transc. Braille ; Moreira, Aureliano, rev.",,"Fraga, Isabel... [et al.]",2000,Presença ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,9-11 anos,,Leitura mediana,,Literatura,,,Livro em Braille,,Português,
74,972-24-1145-4,"Stella, rainha da neve","Gay, Marie-Louise","Gay, Marie-Louise","Pessoa, Manuela",2001,Livros Horizonte,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
75,972-24-1313-9,O meu tetravô … era um guerreiro!,"Francaviglia, Riccardo","Sgarlata, Margherita","Pessoa, Manuela",2005,Livros Horizonte,6-8 anos,,Leitura inicial,,Cultura e Sociedade,,,Livro álbum,,Português,
76,972-24-1449-6,O dia em que quase perdemos o 5,"Luz, Ana Cristina","França, Catarina",,2006,Livros Horizonte,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
77,972-24-1458-5,Magologia : o livro dos segredos de Merlim,,"Gilbert, Anne Yvonne... [et al.]","Taylor, Peter",2006,Livros Horizonte,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
78,972-25-0251-4,Aparição,"Ferreira, Vergílio ; Sá, Fátima ; Andrade, Paulo, rev.",,,,Bertrand ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,,,,Livro em Braille,,Português,
79,972-26-0768-5,Salvemos a Terra,"Porritt, Jonathon; Teles, Gonçalo Ribeiro, 1922-, pref.; Carlos, Príncipe de Gales, 1948-, pref.",,"Viegas, Vanda",1992,Civilização,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
80,972-26-1005-8,Os mais belos contos de Grimm. Vol. 1,"Irmãos Grimm ; Costa, Maria José, adapt","Koshkin, Alexender","Costa, Maria José",1994,Civilização,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
81,972-26-1031-7,As fadas verdes,"Araújo, Matilde Rosa","Bacelar, Manuela",,1994,Civilização,9-11 anos,,Leitura mediana,,Poesia,,,,,Português,
82,972-26-1031-7,As fadas verdes,"Araújo, Matilde Rosa","Bacelar, Manuela",,1994,Civilização,9-11 anos,,Leitura mediana,,Poesia,,,,,Português,
83,972-26-1514-9,Viagens na minha terra,"Garrett, Almeida",,,1998,Civilização,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
84,972-26-2471-7,Chegou o Natal!,Delphine ,"Kay, Sara","Campos, Marlene",2006,Civilização,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,Literatura,,,,Português,
85,972-27-0762-0,Poesias completas - 1951-1986,"O'Neill, Alexandre - 1951-1986 ; Rocha, Clara, pref. ; Mota, Laurinda, transc. Braille ; Santos, António, rev.",,,,Imprensa Nacional-Casa da Moeda ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,15-18 anos,,Leitura fluente,,Poesia,,,Livro em Braille,,Português,
86,972-29-0070-6,A casa dos espíritos,"Allende, Isabel ; Pinto, Cecília, transc. Braille ; Macieira, António, rev.",,"Pereira, Carlos Martins",,Difel ; Santa Casa da Misericórdia do Porto. Centro Professor Albuquerque e Castro - Edições Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
87,972-29-0070-6,A casa dos espíritos,"Allende, Isabel",,"Pereira, Carlos Martins",2001,Difel,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
88,972-29-0712-3,O bosque dos pigmeus,"Allende, Isabel",,"Pitta, Maria Helena",2004,Difel,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
89,972-29-0736-0,Zorro : o começo da lenda,"Allende, Isabel",,"Aguilar, J. Teixeira de",2005,Difel,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
90,972-3-1398-X,"De profundis, valsa lenta","Pires, José Cardoso ; Sá, Fátima, transc. Braille ; Santos, António, rev.",,,,Dom Quixote ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
91,972-36-0468-X,A borboleta Leta,"Soares, Maria de Lourdes","Bacelar, Manuela",,1998,Afrontamento,6-8 anos,,Leitura inicial,Leitura fluente,,,,,,Português,
92,972-36-0546-6,Nós matámos o cão-tinhoso,"Honwana, Luís Bernardo",,,2000,Afrontamento,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
93,972-36-0666-6,Descobrir as ribeiras,"Weber, Mike ; Ferreira, Ana ; Santos, Assunção",,,2003,Afrontamento,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
94,972-37-0119-7,Os passos em volta,"Helder, Herberto ; Mesquita, Teresa, transc. Braille; Moreira, aureliano, rev.",,,,Assírio & Alvim ; Santa Casa da Misericórdia-Porto- Centro Prof. Albuquerque e Castro-Edições Braille,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
95,972-37-0322-X,Cartas portuguesas atribuídas a Mariana Alcoforado,"Andrade, Eugénio de, pseud., pref.","David, Ilda","Andrade, Eugénio de, pseud.",1993,Assírio & Alvim,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,Francês
96,972-37-0322-X,Cartas portuguesas,"Alcoforado, Mariana, atribuído a ; Andrade, Eugéno, pref.","David, Ilda","Andrade, Eugénio de, pseud.",1998,Assírio & Alvim,maiores de 18 anos,,Leitura fluente,,Literatura,,,,,Português,Francês
97,972-37-0633-4,Rosa do mundo : 2001 poemas para o futuro,"Porto 2001 ; Correia, Manuela, org. ; Carvalho, Gil de, colab. ; Oliveira, José Alberto de, colab.",,,2001,Assírio & Alvim,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
98,972-37-0746-2,Na senda da poesia,"Belo, Rui",,,2002,Assírio & Alvim,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
99,972-37-0795-0,Clepsydra,"Pessanha, Camilo ; Barahona, António, compil.",,,2003,Assírio & Alvim,15-18 anos,,Leitura fluente,,Poesia,,,,,Português,
100,972-37-0859-0,A tua cara não me é estranha,"Pereira, Helder Moura",,,2003,Assírio & Alvim,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
101,972-37-1155-9,Natal na quinta,"Strecht, Pedro ","Pacheco, Bárbara Assis",,2006,Assírio & Alvim,9-11 anos,,Leitura mediana,,,Literatura,,,,Português,
102,972-38-0603-7,Os Maias,"Queirós, Eça de ; Rothes, Ana, transc. Braille ; Moniz, Fátima, rev.",,,,Livros do Brasil ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Ed. Braille,15-18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
103,972-41-0475-3,Ulisses,"Menéres, Maria Alberta, recont. ; Sá, Fátima, transc. Braille ; Andrade, Paulo, rev.","Lobinho, Isabel",,2000,Asa II ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro / Ed. Braille,9-11 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
104,972-41-1336-1,O velho que lia romances de amor,"Sepúlveda, Luís ; Sá, Fátima, transc. Braille ; Santos, António, rev.",,,,Asa II ; Santa Casa da Misericórdia-Porto ; Centro Prof. Albuquerque e Castro-Edições Braille,12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
105,972-41-1848-7,História de uma gaivota e do gato que a ensinou a voar,"Sepúlveda, Luís ; Cunha, Quintino, transc. Braille ; Santos, António, rev.",,"Tamen, Pedro",,"Asa ; conceção, produção, distribuição DGE - Ministério da Educação",12-14 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
106,972-41-2384-7,As rosas de Atacama,"Sepúlveda, Luis ; Rothes, Amanda, transc. Braille ; Macieira, António, rev.",,"Tamen, Pedro",,Edições Asa ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,maiores de 18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
107,972-41-3208-0,Miffy fica doente,"Bruna, Dick","Bruna, Dick","Batalim, Dora",2003,ASA,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
108,972-41-4007-5,Conversas com versos,"Menéres, Maria Alberta ; Mota, Laurinda, transc. Braille ; Andrade, Paulo, rev.","Castro, Rui",,2006,Edições Asa ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,6-8 anos,,Leitura inicial,,Poesia,Literatura,,Livro em Braille,,Português,
109,972-41-4360-6,Onde estarão os meus ursinhos?,"Theobalds, Prue",,"Costa, Sara",2005,ASA,0-2 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
110,972-43-0437-X,Timor Lorosa'e : a Ilha do Sol Nascente,"Mésseder, João Pedro, pseud.","Letria, André",,2001,Ambar,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Português,
111,972-43-0502-3,O centro do labirinto,"Fernández Paz, Agustín","Quental, Joana","Ramalhete, Isabel",2002,Ambar,9-11 anos,,Leitura fluente,,Literatura,,,,,Português,
112,972-43-0642-9,Quando eu for grande,"Tagg, Chtistine","Bolton, Bill",,2003,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,Outros,Português,
113,972-43-0728-X,Os macacos,"Silva, Maria Teresa dos Santos","Ribeiro, José M.",,2004,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
114,972-43-0729-8,O cego e o mealheiro,"Silva, Maria Teresa dos Santos","Ribeiro, José Miguel",,2004,Ambar,6-8 anos,,Leitura inicial,Leitura fluente,,,,Livro álbum,,Português,
115,972-43-0730-1,Querida avó,"Müller, Birte","Müller, Birte","Slotboom, Sofia",2004,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
116,972-43-0738-7,O oceano,"Harwood, Beth","Matthews, Derek","Slotboom, Sofia",2004,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
117,972-43-0762-X,As coisas claras,"Neira Cruz, Xosé A.",,"Ramalhete, Isabel",2004,Ambar,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
118,972-43-0784-0,O cão das lunetas e os artistas da quinta da Rute,"Horn, Emily","Bucher, Ursula","Slotboom, Sofia",2004,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
119,972-43-0792-1,Penélope na montanha,"Gutman, Anne ; Hallensleben, Georg",,"Ramalhete Gomes, Maria Inês",2004,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
120,972-43-0862-6,Os crocodilos não lavam os dentes,"Fancy, Colin","Wilson-Max, Ken","Boaventura, André",2005,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
121,972-43-0866-9,À espera de Maria Marmota,"Elschner, Géraldine","Devos, Xavière",,2005,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
122,972-43-0868-5,Contos de animais com manhas de gente : histórias de tradição oral,"Parafita, Alexandre","Rosado, Eunice",,2005,Plátano,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
123,972-43-0906-1,A arca de Noé,"Janisch, Heinz, adapt.","Zwerger, Lisbeth",,2005,Ambar,6-8 anos,,Leitura inicial,,Literatura,,,,,Português,
124,972-43-0915-0,"Que horas são, Maisy? : roda os ponteiros e diz as horas","Cousins, Lucy",,,2005,Ambar,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,Livro jogo,Português,
